Subject,Homework,DueDate
Mathematics,solve 12-30,25-11-2024
Mathematics,report,30-11-2024
Mathematics,solve 8-9,7/12/24
Mathematics,homework 3,5/12/24
Mathematics,homework 4,10/12/24
Mathematics,homework5,12/12/24
English,Write a report,24-12-2024
English,Read chapters 3-5 and summarize,5/12/24
English,Essay on modern literature,12/12/24
English,Vocabulary quiz preparation,19-12-2024
Physics,Complete lab report on motion,8/12/24
Physics,Practice problems on thermodynamics,15-12-2024
Physics,Review for midterm exam,22-12-2024
Visual Arts,Sketch 5 perspectives,10/12/24
Visual Arts,Research presentation on art styles,17-12-2024
Visual Arts,Prepare portfolio for evaluation,24-12-2024
,,
